,Mean,Std,Max,Min,"Range (i.e., max-min)",Percentage above mean,Sum of net loads during business hours,Sum of net loads during non-business hours,Skewness,Kurtosis,Mode of 5-bin histogram,Longest period above mean,Longest period of successive increase,Peak_all: number,Peak_all: time,Peak_all: shortest interval between two peaks,Peak_all: duration,Peak_longest: occurrence time,Peak_longest: duration,Peak_longest: upward slope,Peak_longest: downward slope,Season,Intra-week Group,Installed PV Capacity (kW)
126,-1.0386034528833779,17.819342850938426,21.223000000000003,-46.36556460650793,67.58856460650793,0.5416666666666666,-287.2525203951852,237.39955465678307,-0.9538932753480921,0.14356119428186043,14.464143539349207,7.0,4.0,1,[21.25],,[2.],21.25,2.0,1.0,-1.0,1,3,266.79999999999995
127,-21.853108605216715,39.76173826854062,23.754999999999995,-99.61965972719577,123.37465972719576,0.5833333333333334,-1170.9084619758733,121.95924892547089,-0.5919699087149337,-1.1427495498970148,11.417534027280418,7.0,2.5,1,[21.],,[2.5],21.0,2.5,1.0,-1.0,1,3,266.79999999999995
128,-55.63806446783485,78.28672503809138,24.231999999999992,-191.7408410420635,215.9728410420635,0.5833333333333334,-2594.5446181290476,-76.08247632702651,-0.5551054316885872,-1.384340332827535,2.6347158957936436,8.0,7.0,0.0,,,,,,,,1,3,266.79999999999995
129,-57.85134704117659,78.61499762592061,21.461,-195.85696747645503,217.317967476455,0.625,-2616.9445548975136,-159.92010307896294,-0.5873491690192361,-1.2828332945593557,-0.2707967476455124,8.0,6.5,0.0,,,,,,,,1,3,266.79999999999995
130,-1.9385716961704151,20.978969696246963,20.635999999999996,-68.23856689978837,88.87456689978836,0.625,-364.6045937477354,271.55315233155557,-1.5419979269669928,1.9825513669697798,11.748543310021162,10.0,2.5,1,[20.75],,[1.],20.75,1.0,1.0,-1.0,1,3,266.79999999999995
131,-45.638043593025124,71.27678681930404,19.829,-190.48184421587302,210.31084421587303,0.625,-2161.5655269271433,-29.060565538063464,-0.8176242694730872,-0.9015640269822693,-1.2020844215873048,8.0,6.0,0.0,,,,,,,,1,3,266.79999999999995
132,-24.633943820349202,42.600444711178554,21.854000000000003,-136.7731214963492,158.62712149634922,0.5833333333333334,-1127.4675770733331,-54.96172630342852,-0.8891972890537398,-0.1454378552555542,5.991287850365085,7.0,2.0,1,[20.25],,[1.],20.25,1.0,1.0,-1.0,1,3,266.79999999999995
133,-30.256735158761686,56.67102667247395,21.691999999999997,-181.1270956183598,202.8190956183598,0.625,-1563.2533682986243,110.93008067806348,-1.3160121757856778,0.6140718144395909,1.410090438164028,8.0,3.0,0.0,,,,,,,,1,3,266.79999999999995
134,-32.003642933232584,55.94929911769493,23.124000000000002,-156.01324807539683,179.13724807539683,0.625,-1627.0459588310055,90.87109803584131,-0.823559825619036,-0.773489502475353,5.210275192460319,7.0,5.0,0.0,,,,,,,,1,3,266.79999999999995
135,8.099570434637567,8.984704470768467,23.096,-8.041306643544969,31.137306643544967,0.6041666666666666,5.949021515433863,382.83035934716935,-0.15931043267550235,-1.0875835257765356,7.527346678227514,8.0,4.5,1,[19.5],,[4.5],19.5,4.5,1.0,-1.0,3,3,266.79999999999995
136,-22.099716408964508,48.533999927380016,31.056,-129.41632937994711,160.47232937994713,0.625,-1259.2757698756404,198.48938224534396,-0.7455655212604869,-0.8892558516042288,15.0087670620053,7.0,3.5,1,[19.75],,[1.],19.75,1.0,1.0,-1.0,3,3,266.79999999999995
137,-2.117961634685844,37.05074129761369,29.711944509645512,-103.93258545798942,133.64452996763492,0.7916666666666666,-591.3095805246667,489.647422059746,-1.809007480874611,1.8352622297832868,16.34749151288202,12.0,4.0,0.0,,,,,,,,3,3,266.79999999999995
138,-3.4480736228511906,31.52045626651266,30.600999999999996,-90.89731793984129,121.49831793984129,0.7083333333333334,-618.0141877044497,452.50665380759256,-1.2758509233247386,0.5805339793509434,18.451168206015872,10.0,4.0,1,[18.75],,[1.],18.75,1.0,1.0,-1.0,3,3,266.79999999999995
139,-30.16211383351609,64.11844673360358,29.143000000000004,-160.29699705190475,189.43999705190475,0.625,-1814.5856281272645,366.804164118492,-0.9010693399950638,-0.8486613611800808,10.199000294809524,8.0,3.5,0.0,,,,,,,,3,3,266.79999999999995
140,8.718029251111552,13.82385143013424,28.836,-29.304580965608473,58.14058096560847,0.5833333333333334,18.38185714192591,400.0835469114286,-1.1701833653715155,1.4829023035194462,11.393825710317458,7.0,2.5,1,[19.25],,[3.],19.25,3.0,1.0,-1.0,3,3,266.79999999999995
